Movie_name,Release_Year,Time_duration,Imdb_Rating,Movie_Description,Imdb_Votes,Meta_score
 Dances with Wolves,1990,3h 1m,8.0,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,300000.0,63.0
 Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",1300000.0,70.0
 Batman Begins,2005,2h 20m,8.2,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",1600000.0,81.0
 Skyfall,2012,2h 23m,7.8,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",749000.0,98.0
 The Treasure of the Sierra Madre,1948,2h 6m,8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,137000.0,79.0
 The Untouchables,1987,1h 59m,7.8,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",342000.0,90.0
 The Truman Show,1998,1h 43m,8.2,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,1300000.0,81.0
 Reservoir Dogs,1992,1h 39m,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1100000.0,94.0
 The Apartment,1960,2h 5m,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",208000.0,86.0
 The Big Sleep,1946,1h 54m,7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail--and what might be love.",93000.0,95.0
 Amour,2012,2h 7m,7.9,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",108000.0,90.0
 The Grump,2014,1h 42m,6.7,"A grumpy old man who hates post-1953 changes falls and must spend a weekend in Helsinki. His injury forces family time and involvement in his daughter-in-law's business deal, while confronting his own failings as a father.",3100.0,81.0
 Ben-Hur,1959,3h 32m,8.1,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",262000.0,93.0
 Happiness,1998,2h 14m,7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",77000.0,89.0
 8½,1963,2h 18m,8.0,A harried movie director retreats into his memories and fantasies.,129000.0,82.0
 Thelma & Louise,1991,2h 10m,7.6,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",183000.0,70.0
 Downfall,2004,2h 36m,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",387000.0,73.0
 Rocky,1976,2h,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,657000.0,88.0
 Gran Torino,2008,1h 56m,8.1,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",837000.0,75.0
 Strangers on a Train,1951,1h 41m,7.9,A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,145000.0,83.0
 Who's Afraid of Virginia Woolf?,1966,2h 11m,8.0,"A middle-aged New England associate professor and his wife, with the help of alcohol, use their young guests to fuel anguish and emotional pain towards each other over the course of a distressing night.",82000.0,84.0
 The Exorcist,1973,2h 2m,8.1,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",476000.0,58.0
 The Terminator,1984,1h 47m,8.1,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,961000.0,83.0
 The Hobbit: An Unexpected Journey,2012,2h 49m,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.",901000.0,67.0
 Kill Bill: Vol,2004,2h 17m,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",836000.0,86.0
 Gladiator,2000,2h 35m,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,1800000.0,79.0
 Traffic,2000,2h 27m,7.5,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",225000.0,61.0
 Zodiac,2007,2h 37m,7.7,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",633000.0,83.0
 The Green Mile,1999,3h 9m,8.6,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,1500000.0,90.0
 Avatar,2009,2h 42m,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1400000.0,73.0
 Halloween,1978,1h 31m,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.",323000.0,87.0
 Casino,1995,2h 58m,8.2,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",590000.0,82.0
 Jaws,1975,2h 4m,8.1,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",692000.0,100.0
 Once Upon a Time in the West,1968,2h 46m,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,367000.0,86.0
 Notorious,1946,1h 42m,7.9,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?,111000.0,82.0
 The Great Escape,1963,2h 52m,8.2,"Allied officers in a German prisoner of war camp during World War II making a daring plan for a mass escape by hundreds of their men, hoping to draw German personnel and resources away from combat operations.",268000.0,87.0
