,Movie_name,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description,Decade
118, Reservoir Dogs,1992,99,8.3,1100000,81,R,Quentin Tarantino,Harvey KeitelTim RothMichael Madsen,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1990
119, The Apartment,1960,125,8.3,208000,94,Approved,Billy Wilder,Jack LemmonShirley MacLaineFred MacMurray,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",1960
120, The Big Sleep,1946,114,7.9,93000,86,Approved,Howard Hawks,Humphrey BogartLauren BacallJohn Ridgely,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail--and what might be love.",1940
121, Amour,2012,127,7.9,108000,95,PG-13,Michael Haneke,Jean-Louis TrintignantEmmanuelle RivaIsabelle Huppert,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",2010
122, The Grump,2014,102,6.7,3100,90,Not Rated,Dome Karukoski,Antti LitjaPetra FreyMari Perankoski,"A grumpy old man who hates post-1953 changes falls and must spend a weekend in Helsinki. His injury forces family time and involvement in his daughter-in-law's business deal, while confronting his own failings as a father.",2010
123, Ben-Hur,1959,212,8.1,263000,78.42,G,William Wyler,Charlton HestonJack HawkinsStephen Boyd,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",1950
124, Happiness,1998,134,7.7,77000,81,NC-17,Todd Solondz,Jane AdamsJon LovitzPhilip Seymour Hoffman,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",1990
125, 8½,1963,138,8,129000,93,Not Rated,Federico Fellini,Marcello MastroianniAnouk AiméeClaudia Cardinale,A harried movie director retreats into his memories and fantasies.,1960
126, Thelma & Louise,1991,130,7.6,183000,89,R,Ridley Scott,Susan SarandonGeena DavisHarvey Keitel,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two women escape for the crimes they committed.",1990
127, Downfall,2004,156,8.2,388000,82,R,Oliver Hirschbiegel,Bruno GanzAlexandra Maria LaraUlrich Matthes,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",2000
128, Rocky,1976,120,8.1,658000,70,PG,John G. Avildsen,Sylvester StalloneTalia ShireBurt Young,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,1970
129, Gran Torino,2008,116,8.1,838000,73,R,Clint Eastwood,Clint EastwoodBee VangChristopher Carley,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",2000
130, Strangers on a Train,1951,101,7.9,145000,88,PG,Alfred Hitchcock,Farley GrangerRobert WalkerRuth Roman,A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,1950
131, Who's Afraid of Virginia Woolf?,1966,131,8,82000,75,Approved,Mike Nichols,Elizabeth TaylorRichard BurtonGeorge Segal,"A middle-aged New England associate professor and his wife, with the help of alcohol, use their young guests to fuel anguish and emotional pain towards each other over the course of a distressing night.",1960
132, The Exorcist,1973,122,8.1,476000,83,R,William Friedkin,Ellen BurstynMax von SydowLinda Blair,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",1970
133, The Terminator,1984,107,8.1,962000,84,R,James Cameron,Arnold SchwarzeneggerLinda HamiltonMichael Biehn,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,1980
134, The Hobbit: An Unexpected Journey,2012,169,7.8,901000,58,PG-13,Peter Jackson,Martin FreemanIan McKellenRichard Armitage,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.",2010
135, Kill Bill: Vol,2004,137,8,836000,83,R,Quentin Tarantino,Uma ThurmanDavid CarradineMichael Madsen,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",2000
136, Gladiator,2000,155,8.5,1800000,67,R,Ridley Scott,Russell CroweJoaquin PhoenixConnie Nielsen,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000
137, Traffic,2000,147,7.5,225000,86,R,Steven Soderbergh,Michael DouglasBenicio Del ToroCatherine Zeta-Jones,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",2000
138, Zodiac,2007,157,7.7,633000,79,R,David Fincher,Jake GyllenhaalRobert Downey Jr.Mark Ruffalo,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",2000
139, The Green Mile,1999,189,8.6,1500000,61,R,Frank Darabont,Tom HanksMichael Clarke DuncanDavid Morse,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,1990
140, Avatar,2009,162,7.9,1400000,83,PG-13,James Cameron,Sam WorthingtonZoe SaldañaSigourney Weaver,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,2000
141, Halloween,1978,91,7.7,323000,90,R,John Carpenter,Donald PleasenceJamie Lee CurtisTony Moran,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois, to kill again.",1970
142, Casino,1995,178,8.2,590000,73,R,Martin Scorsese,Robert De NiroSharon StoneJoe Pesci,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",1990
143, Jaws,1975,124,8.1,692000,87,PG,Steven Spielberg,Roy ScheiderRobert ShawRichard Dreyfuss,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",1970
144, Once Upon a Time in the West,1968,166,8.5,367000,82,PG-13,Sergio Leone,Henry FondaCharles BronsonClaudia Cardinale,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1960
145, Notorious,1946,102,7.9,111000,100,Approved,Alfred Hitchcock,Cary GrantIngrid BergmanClaude Rains,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?,1940
146, The Great Escape,1963,172,8.2,268000,86,Approved,John Sturges,Steve McQueenJames GarnerRichard Attenborough,"Allied officers in a German prisoner of war camp during World War II making a daring plan for a mass escape by hundreds of their men, hoping to draw German personnel and resources away from combat operations.",1960
147, The Nightmare Before Christmas,1993,76,7.9,395000,82,PG,Henry Selick,Danny ElfmanChris SarandonCatherine O'Hara,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",1990
148, Goldfinger,1964,110,7.7,209000,87,Approved,Guy Hamilton,Sean ConneryGert FröbeHonor Blackman,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",1960
149, Death Proof,2007,127,7,324000,86,R,Quentin Tarantino,Kurt RussellZoë BellRosario Dawson,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",2000
150, Argo,2012,120,7.7,652000,78.42,R,Ben Affleck,Ben AffleckBryan CranstonJohn Goodman,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",2010
151, Milk,2008,128,7.5,183000,83,R,Gus Van Sant,Sean PennJosh BrolinEmile Hirsch,"The story of American gay activist Harvey Milk, who fought for gay rights and was elected as California's first openly gay official.",2000
152, Being John Malkovich,1999,113,7.7,362000,90,R,Spike Jonze,John CusackCameron DiazCatherine Keener,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,1990
153, Black Swan,2010,108,8,857000,79,R,Darren Aronofsky,Natalie PortmanMila KunisVincent Cassel,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",2010
154, The Others,2001,104,7.6,409000,74,PG-13,Alejandro Amenábar,Nicole KidmanChristopher EcclestonFionnula Flanagan,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",2000
155, Brokeback Mountain,2005,134,7.7,400000,87,R,Ang Lee,Jake GyllenhaalHeath LedgerMichelle Williams,"Two shepherds fall for each other, but their relationship becomes complicated when they both get married to their respective girlfriends.",2000
156, Collateral,2004,120,7.5,448000,71,R,Michael Mann,Tom CruiseJamie FoxxJada Pinkett Smith,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,2000
157, Jackie Brown,1997,154,7.5,389000,62,R,Quentin Tarantino,Pam GrierSamuel L. JacksonRobert Forster,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",1990
158, Casino Royale,2006,144,8,716000,80,PG-13,Martin Campbell,Daniel CraigEva GreenJudi Dench,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",2000
159, Platoon,1986,120,8.1,455000,92,R,Oliver Stone,Charlie SheenTom BerengerWillem Dafoe,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",1980
160, The Thin Red Line,1998,170,7.6,206000,78,R,Terrence Malick,Jim CaviezelSean PennNick Nolte,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",1990
161, The Hunger Games: Catching Fire,2013,146,7.5,746000,76,PG-13,Francis Lawrence,Jennifer LawrenceJosh HutchersonLiam Hemsworth,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,2010
162, The Godfather Part III,1990,162,7.6,439000,60,R,Francis Ford Coppola,Al PacinoDiane KeatonAndy Garcia,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",1990
163, American History X,1998,119,8.5,1200000,62,R,Tony Kaye,Edward NortonEdward FurlongBeverly D'Angelo,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1990
164, Dead Poets Society,1989,128,8.1,589000,79,PG,Peter Weir,Robin WilliamsRobert Sean LeonardEthan Hawke,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",1980
165, The Visitor,2007,104,7.6,45000,79,PG-13,Tom McCarthy,Richard JenkinsHaaz SleimanDanai Gurira,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,2000
166, Talk to Her,2002,112,7.9,120000,86,R,Pedro Almodóvar,Rosario FloresJavier CámaraDarío Grandinetti,Two men share an odd friendship while they care for two women who are both in deep comas.,2000
167, The Girl with the Dragon Tattoo,2009,152,7.8,227000,76,R,Niels Arden Oplev,Michael NyqvistNoomi RapaceEwa Fröling,"Influential industrialist Vanger's niece Harriet disappeared under mysterious circumstances 40 years ago. As a last attempt at solving the case, he hires investigative journalist Mikael Blomkvist.",2000
168, Das Boot,1981,149,8.4,279000,85,R,Wolfgang Petersen,Jürgen ProchnowHerbert GrönemeyerKlaus Wennemann,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,1980
169, Sideways,2004,127,7.5,211000,94,R,Alexander Payne,Paul GiamattiThomas Haden ChurchVirginia Madsen,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.",2000
170, Scent of a Woman,1992,156,8,350000,57,R,Martin Brest,Al PacinoChris O'DonnellJames Rebhorn,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",1990
171, Deliverance,1972,109,7.6,124000,80,R,John Boorman,Jon VoightBurt ReynoldsNed Beatty,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",1970
172, Taken,2008,90,7.7,654000,51,PG-13,Pierre Morel,Liam NeesonMaggie GraceFamke Janssen,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",2000
173, Back to the Future Part II,1989,108,7.8,596000,57,PG,Robert Zemeckis,Michael J. FoxChristopher LloydLea Thompson,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",1980
174, The Incredible Shrinking Man,1957,81,7.6,21000,73,Approved,Jack Arnold,Grant WilliamsRandy StuartApril Kent,"After Scott Carey begins to shrink because of exposure to a combination of radiation and insecticide, medical science is powerless to help him.",1950
175, The Fugitive,1993,130,7.8,332000,87,PG-13,Andrew Davis,Harrison FordTommy Lee JonesSela Ward,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",1990
176, Shutter Island,2010,138,8.2,1500000,63,R,Martin Scorsese,Leonardo DiCaprioEmily MortimerMark Ruffalo,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,2010
177, The Big Lebowski,1998,117,8.1,889000,71,R,sJoel CoenEthan Coen,Jeff BridgesJohn GoodmanJulianne Moore,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",1990
178, Last Tango in Paris,1972,129,6.8,61000,77,NC-17,Bernardo Bertolucci,Marlon BrandoMaria SchneiderMaria Michi,A young Parisian woman meets a middle-aged American businessman who demands their clandestine relationship be based only on sex.,1970
179, The Talented Mr,1999,139,7.4,261000,76,R,Anthony Minghella,Matt DamonGwyneth PaltrowJude Law,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.",1990
180, First Blood,1982,93,7.7,289000,61,R,Ted Kotcheff,Sylvester StalloneBrian DennehyRichard Crenna,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,1980
181, The Ghost Writer,2010,128,7.2,174000,77,PG-13,Roman Polanski,Ewan McGregorPierce BrosnanOlivia Williams,A ghostwriter uncovers a dark secret while working on the memoirs of England's former Prime Minister.,2010
182, Million Dollar Baby,2004,132,8.1,745000,86,PG-13,Clint Eastwood,Hilary SwankClint EastwoodMorgan Freeman,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",2000
183, The Man Who Wasn't There,2001,116,7.5,118000,73,R,Joel Coen,Billy Bob ThorntonFrances McDormandMichael Badalucco,"A laconic, chain-smoking barber blackmails his wife's boss and lover for money to invest in dry cleaning, but his plan goes terribly wrong.",2000
184, The Wrestler,2008,109,7.9,325000,80,R,Darren Aronofsky,Mickey RourkeMarisa TomeiEvan Rachel Wood,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",2000
185, Harry Brown,2009,103,7.2,93000,55,R,Daniel Barber,Michael CaineEmily MortimerDavid Bradley,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice.,2000
186, The Bourne Identity,2002,119,7.8,594000,68,PG-13,Doug Liman,Franka PotenteMatt DamonChris Cooper,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",2000
187, La Cage aux Folles,1978,97,7.2,12000,61,R,Édouard Molinaro,Ugo TognazziMichel SerraultClaire Maurier,"The manager of a Saint-Tropez nightclub featuring drag entertainment, and his star attraction, are a gay couple. Madness ensues when his straight son brings home a fiancée and her ultra-conservative parents to meet them.",1970
188, There Will Be Blood,2007,158,8.2,669000,93,R,Paul Thomas Anderson,Daniel Day-LewisPaul DanoCiarán Hinds,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2000
189, Billy Elliot,2000,110,7.7,148000,74,R,Stephen Daldry,Jamie BellJulie WaltersJean Heywood,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,2000
190, Little Miss Sunshine,2006,101,7.8,536000,80,R,sJonathan DaytonValerie Faris,Steve CarellToni ColletteGreg Kinnear,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,2000
191, The Hobbit: The Battle of the Five Armies,2014,144,7.4,595000,59,R,Peter Jackson,Ian McKellenMartin FreemanRichard Armitage,Bilbo Baggins and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,2010
192, The Hunger Games,2012,142,7.2,1000000,68,PG-13,Gary Ross,Jennifer LawrenceJosh HutchersonLiam Hemsworth,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2010
193, Psycho,1960,109,8.5,750000,97,R,Alfred Hitchcock,Anthony PerkinsJanet LeighVera Miles,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,1960
194, E,1982,115,7.9,453000,92,PG,Steven Spielberg,Henry ThomasDrew BarrymorePeter Coyote,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,1980
195, Kramer vs,1979,105,7.8,161000,77,PG,Robert Benton,Dustin HoffmanMeryl StreepJane Alexander,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.",1970
196, Under the Tuscan Sun,2003,113,6.7,63000,52,PG-13,Audrey Wells,Diane LaneRaoul BovaSandra Oh,"Frances Mayes, a 35-year-old San Francisco writer, gets a divorce that leaves her with terminal writer's block and depression. Later, she decides to buy a house in Tuscany in order to change her life.",2000
197, Transamerica,2005,103,7.3,43000,66,R,Duncan Tucker,Felicity HuffmanKevin ZegersFionnula Flanagan,"A transgender woman takes an unexpected journey when she learns that she had a son, now a teenage runaway hustling on the streets of New York.",2000
198, WALL·E,2008,98,8.4,1300000,95,G,Andrew Stanton,Ben BurttElissa KnightJeff Garlin,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",2000
199, Dirty Harry,1971,102,7.7,175000,87,R,sDon SiegelClint Eastwood,Clint EastwoodAndrew RobinsonHarry Guardino,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",1970
200, Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,877000,68,PG-13,George Lucas,Hayden ChristensenNatalie PortmanEwan McGregor,"As the Clone Wars nears its end, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot for galactic domination.",2000
201, Stand by Me,1986,89,8.1,463000,75,R,Rob Reiner,Wil WheatonRiver PhoenixCorey Feldman,A writer recounts a childhood journey with his friends to find the body of a missing boy.,1980
202, A Nightmare on Elm Street,1984,91,7.4,277000,76,R,Wes Craven,Heather LangenkampJohnny DeppRobert Englund,"Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in real life.",1980
203, Finding Nemo,2003,100,8.2,1200000,90,G,sAndrew StantonLee Unkrich,Albert BrooksEllen DeGeneresAlexander Gould,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2000
204, In the Mouth of Madness,1994,95,7.1,84000,53,R,John Carpenter,Sam NeillJürgen ProchnowJulie Carmen,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,1990
205, The Fifth Element,1997,126,7.6,526000,52,PG-13,Luc Besson,Bruce WillisMilla JovovichGary Oldman,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",1990
206, The Sixth Sense,1999,107,8.2,1100000,64,PG-13,M. Night Shyamalan,Bruce WillisHaley Joel OsmentToni Collette,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",1990
207, Amores Perros,2000,154,8,266000,83,R,Alejandro G. Iñárritu,Emilio EchevarríaGael García BernalGoya Toledo,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",2000
208, Jurassic Park,1993,127,8.2,1100000,68,PG-13,Steven Spielberg,Sam NeillLaura DernJeff Goldblum,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",1990
209, Carlito's Way,1993,144,7.9,240000,66,R,Brian De Palma,Al PacinoSean PennPenelope Ann Miller,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",1990
210, Army of Darkness,1992,81,7.4,202000,59,R,Sam Raimi,Bruce CampbellEmbeth DavidtzMarcus Gilbert,"When Ash Williams is accidentally transported to 1300 A.D., he must retrieve the Necronomicon and battle an army of the dead in order to return home.",1990
211, A Fish Called Wanda,1988,108,7.5,160000,80,R,sCharles CrichtonJohn Cleese,John CleeseJamie Lee CurtisKevin Kline,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool the very proper barrister Archibald Leach.",1980
212, Good Will Hunting,1997,126,8.3,1100000,71,R,Gus Van Sant,Robin WilliamsMatt DamonBen Affleck,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1990
213, Cat on a Hot Tin Roof,1958,108,7.9,55000,84,Approved,Richard Brooks,Elizabeth TaylorPaul NewmanBurl Ives,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,1950
214, Total Recall,1990,113,7.5,368000,60,R,Paul Verhoeven,Arnold SchwarzeneggerSharon StoneMichael Ironside,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",1990
215," Crouching Tiger, Hidden Dragon",2000,120,7.9,288000,94,PG-13,Ang Lee,Chow Yun-FatMichelle YeohZiyi Zhang,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,2000
216, Show Me Love,1998,89,7.5,57000,73,Not Rated,Lukas Moodysson,Alexandra DahlströmRebecka LiljebergErica Carlson,"Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.",1990
217, 21 Grams,2003,124,7.6,250000,70,R,Alejandro G. Iñárritu,Sean PennBenicio Del ToroNaomi Watts,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",2000
218, Cape Fear,1991,128,7.3,226000,73,R,Martin Scorsese,Robert De NiroNick NolteJessica Lange,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",1990
219, Inside Man,2006,129,7.6,412000,76,R,Spike Lee,Denzel WashingtonClive OwenJodie Foster,"A police detective, a bank robber and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",2000
220, Sin City: A Dame to Kill For,2014,102,6.5,174000,46,R,sFrank MillerRobert Rodriguez,Mickey RourkeJessica AlbaJosh Brolin,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,2010
221, Groundhog Day,1993,101,8,715000,72,PG,Harold Ramis,Bill MurrayAndie MacDowellChris Elliott,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",1990
222, JFK,1991,189,8,176000,72,R,Oliver Stone,Kevin CostnerGary OldmanJack Lemmon,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,1990
223, Black Hawk Down,2001,144,7.7,439000,74,R,Ridley Scott,Josh HartnettEwan McGregorTom Sizemore,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",2000
224, Bad Education,2004,106,7.4,65000,81,R,Pedro Almodóvar,Gael García BernalFele MartínezJavier Cámara,An examination on the effect of Franco-era religious schooling and sexual abuse on the lives of two longtime friends.,2000
225, Watchmen,2009,162,7.6,597000,56,R,Zack Snyder,Jackie Earle HaleyPatrick WilsonCarla Gugino,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history.",2000
226, The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,114,7,43000,58,R,Felix Herngren,Robert GustafssonIwar WiklanderDavid Wiberg,"After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey.",2010
227, Lilya 4-Ever,2002,109,7.8,52000,83,R,Lukas Moodysson,Oksana AkinshinaArtyom BogucharskiyPavel Ponomaryov,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",2000
228, The Sea Inside,2004,126,8,87000,74,PG-13,Alejandro Amenábar,Javier BardemBelén RuedaLola Dueñas,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.",2000
229, Catch Me If You Can,2002,141,8.1,1200000,75,PG-13,Steven Spielberg,Leonardo DiCaprioTom HanksChristopher Walken,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2000
230, Man on the Moon,1999,118,7.4,141000,58,R,Milos Forman,Jim CarreyDanny DeVitoGerry Becker,The life and career of legendary comedian Andy Kaufman.,1990
231, Alive,1993,128,7.1,67000,56,R,Frank Marshall,Ethan HawkeVincent SpanoJosh Hamilton,"After crash-landing in the snowswept Andes, a Uruguayan rugby team has no choice but to turn to desperate measures in order to survive.",1990
232, Spy Game,2001,126,7.1,172000,63,R,Tony Scott,Robert RedfordBrad PittCatherine McCormack,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,2000
233, Changeling,2008,141,7.7,270000,63,R,Clint Eastwood,Angelina JolieColm FeoreAmy Ryan,"After Christine's son goes missing, she reaches out to the LAPD to find him, but when they try to pass off an impostor as her son to quiet public protests, she refuses to accept him or give up hope.",2000
234, The Reader,2008,124,7.6,268000,58,R,Stephen Daldry,Kate WinsletRalph FiennesBruno Ganz,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.",2000
235, Predator,1987,107,7.8,476000,47,R,John McTiernan,Arnold SchwarzeneggerCarl WeathersKevin Peter Hall,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,1980
