,Movie_name,movie_type,Director,Actors,Movie_Description,Release_Year,Time_duration'M',Imdb_Rating,Imdb_votes,Meta_score,Decade
37, Memento,R,Christopher Nolan,Guy PearceCarrie-Anne MossJoe Pantoliano,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,2000,113,8.4,1400000,83.0,2000
38, American Beauty,R,Sam Mendes,Kevin SpaceyAnnette BeningThora Birch,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999,122,8.3,1200000,84.0,1990
39, As Good as It Gets,PG-13,James L. Brooks,Jack NicholsonHelen HuntGreg Kinnear,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",1997,139,7.7,328000,67.0,1990
40, Forrest Gump,PG-13,Robert Zemeckis,Tom HanksRobin WrightGary Sinise,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1994,142,8.8,323500,82.0,1990
41, Singin' in the Rain,G,sStanley DonenGene Kelly,Gene KellyDonald O'ConnorDebbie Reynolds,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1952,103,8.3,272000,99.0,1950
42, Braveheart,R,Mel Gibson,Mel GibsonSophie MarceauPatrick McGoohan,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995,120,8.3,1100000,68.0,1990
43, Saving Private Ryan,R,Steven Spielberg,Tom HanksMatt DamonTom Sizemore,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,169,8.6,323500,91.0,1990
44, Rain Man,R,Barry Levinson,Dustin HoffmanTom CruiseValeria Golino,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",1988,133,8.0,564000,65.0,1980
45, The King's Speech,R,Tom Hooper,Colin FirthGeoffrey RushHelena Bonham Carter,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",2010,118,8.0,721000,88.0,2010
46, 2001: A Space Odyssey,G,Stanley Kubrick,Keir DulleaGary LockwoodWilliam Sylvester,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",1968,149,8.3,752000,84.0,1960
