Movie_name,Release_Year,Time_duration,Imdb_Rating,Imdb_votes,Meta_score,movie_type,Director,Actors,Movie_Description
 Memento,2000,1h 53m,8.4,1400000.0,83.0,R,Christopher Nolan,Guy PearceCarrie-Anne MossJoe Pantoliano,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.
 American Beauty,1999,2h 2m,8.3,1200000.0,84.0,R,Sam Mendes,Kevin SpaceyAnnette BeningThora Birch,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
 As Good as It Gets,1997,2h 19m,7.7,328000.0,67.0,PG-13,James L. Brooks,Jack NicholsonHelen HuntGreg Kinnear,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
 Forrest Gump,1994,2h 22m,8.8,2400000.0,82.0,PG-13,Robert Zemeckis,Tom HanksRobin WrightGary Sinise,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
 Singin' in the Rain,1952,1h 43m,8.3,272000.0,99.0,G,sStanley DonenGene Kelly,Gene KellyDonald O'ConnorDebbie Reynolds,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
 Braveheart,1995,2h 58m,8.3,1100000.0,68.0,R,Mel Gibson,Mel GibsonSophie MarceauPatrick McGoohan,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
 Saving Private Ryan,1998,2h 49m,8.6,1600000.0,91.0,R,Steven Spielberg,Tom HanksMatt DamonTom Sizemore,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
 Rain Man,1988,2h 13m,8.0,564000.0,65.0,R,Barry Levinson,Dustin HoffmanTom CruiseValeria Golino,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
 The King's Speech,2010,1h 58m,8.0,721000.0,88.0,R,Tom Hooper,Colin FirthGeoffrey RushHelena Bonham Carter,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
 2001: A Space Odyssey,1968,2h 29m,8.3,752000.0,84.0,G,Stanley Kubrick,Keir DulleaGary LockwoodWilliam Sylvester,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
 Kill Bill: Vol,2003,1h 51m,8.2,1200000.0,69.0,R,Quentin Tarantino,Uma ThurmanDavid CarradineDaryl Hannah,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
 Avanti!,1972,2h 24m,7.2,12000.0,90.0,R,Billy Wilder,Jack LemmonJuliet MillsClive Revill,A successful businessman goes to Italy to arrange for the return of his tycoon father's body--and discovers that Dad died with his long-time mistress.
" The Good, the Bad and the Ugly",1966,2h 58m,8.8,851000.0,78.42,R,Sergio Leone,Clint EastwoodEli WallachLee Van Cleef,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
 Amélie,2001,2h 2m,8.3,818000.0,70.0,R,Jean-Pierre Jeunet,Audrey TautouMathieu KassovitzRufus,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
 Modern Times,1936,1h 27m,8.5,272000.0,96.0,G,Charles Chaplin,Charles ChaplinPaulette GoddardHenry Bergman,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
 Lost in Translation,2003,1h 42m,7.7,510000.0,91.0,R,Sofia Coppola,Bill MurrayScarlett JohanssonGiovanni Ribisi,A fading movie star falls for a lonely young woman in Tokyo.
 Full Metal Jacket,1987,1h 56m,8.2,821000.0,78.0,R,Stanley Kubrick,Matthew ModineR. Lee ErmeyVincent D'Onofrio,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
 Requiem for a Dream,2000,1h 42m,8.3,937000.0,71.0,NC-17,Darren Aronofsky,Ellen BurstynJared LetoJennifer Connelly,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
 Fight Club,1999,2h 19m,8.8,2500000.0,67.0,R,David Fincher,Brad PittEdward NortonMeat Loaf,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
 No Country for Old Men,2007,2h 2m,8.2,1100000.0,92.0,R,sEthan CoenJoel Coen,Tommy Lee JonesJavier BardemJosh Brolin,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
 Django Unchained,2012,2h 45m,8.5,1800000.0,81.0,R,Quentin Tarantino,Jamie FoxxChristoph WaltzLeonardo DiCaprio,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
 Children of Men,2006,1h 49m,7.9,547000.0,84.0,R,Alfonso Cuarón,Julianne MooreClive OwenChiwetel Ejiofor,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
 Ratatouille,2007,1h 51m,8.1,883000.0,96.0,G,sBrad BirdJan Pinkava,Brad GarrettLou RomanoPatton Oswalt,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
 The Lives of Others,2006,2h 17m,8.4,427000.0,89.0,R,Florian Henckel von Donnersmarck,Ulrich MüheMartina GedeckSebastian Koch,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
 The Prestige,2006,2h 10m,8.5,1500000.0,66.0,PG-13,Christopher Nolan,Christian BaleHugh JackmanScarlett Johansson,Rival 19th-century magicians engage in a bitter battle for trade secrets.
 V for Vendetta,2005,2h 12m,8.1,1200000.0,62.0,R,James McTeigue,Hugo WeavingNatalie PortmanRupert Graves,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
 Chinatown,1974,2h 10m,8.1,364000.0,92.0,R,Roman Polanski,Jack NicholsonFaye DunawayJohn Huston,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
 City of God,2002,2h 10m,8.6,836000.0,79.0,R,sFernando MeirellesKátia Lund,Alexandre RodriguesLeandro FirminoMatheus Nachtergaele,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
 To Have and Have Not,1944,1h 40m,7.8,40000.0,90.0,Approved,Howard Hawks,Humphrey BogartLauren BacallWalter Brennan,"During World War II, an American expatriate helps transport a French Resistance leader and his wife to Martinique while romancing a lounge singer."
 Fargo,1996,1h 38m,8.1,755000.0,88.0,R,sJoel CoenEthan Coen,William H. MacyFrances McDormandSteve Buscemi,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
 Life of Pi,2012,2h 7m,7.9,684000.0,79.0,PG,Ang Lee,Suraj SharmaIrrfan KhanAdil Hussain,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
 Slumdog Millionaire,2008,2h,8.0,895000.0,84.0,R,sDanny BoyleLoveleen Tandan,Dev PatelFreida PintoSaurabh Shukla,"When a teenager from the slums of Mumbai is interrogated about his suspicious performance on a quiz show, he revisits various events from his past to explain how he knew all the answers."
 Vertigo,1958,2h 8m,8.2,444000.0,100.0,PG,Alfred Hitchcock,James StewartKim NovakBarbara Bel Geddes,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
 Trainspotting,1996,1h 33m,8.1,748000.0,83.0,R,Danny Boyle,Ewan McGregorEwen BremnerJonny Lee Miller,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends."
 Interstellar,2014,2h 49m,8.7,2300000.0,74.0,PG-13,Christopher Nolan,Matthew McConaugheyAnne HathawayJessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
 The Thing,1982,1h 49m,8.2,497000.0,57.0,R,John Carpenter,Kurt RussellWilford BrimleyKeith David,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
 The Third Man,1949,1h 44m,8.1,189000.0,97.0,Approved,Carol Reed,Orson WellesJoseph CottenAlida Valli,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
 12 Monkeys,1995,2h 9m,8.0,663000.0,75.0,R,Terry Gilliam,Bruce WillisMadeleine StoweBrad Pitt,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
 Life Is Beautiful,1997,1h 56m,8.6,777000.0,58.0,PG-13,Roberto Benigni,Roberto BenigniNicoletta BraschiGiorgio Cantarini,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
 The Pianist,2002,2h 30m,8.5,966000.0,85.0,R,Roman Polanski,Adrien BrodyThomas KretschmannFrank Finlay,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
 Magnolia,1999,3h 8m,8.0,338000.0,78.0,R,Paul Thomas Anderson,Tom CruiseJason RobardsJulianne Moore,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley."
 The Dark Knight Rises,2012,2h 44m,8.4,1900000.0,78.0,PG-13,Christopher Nolan,Christian BaleTom HardyAnne Hathaway,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
 Star Wars: Episode VII - The Force Awakens,2015,2h 18m,7.8,998000.0,80.0,PG-13,J.J. Abrams,Daisy RidleyJohn BoyegaOscar Isaac,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
 The Hobbit: The Desolation of Smaug,2013,2h 41m,7.8,731000.0,66.0,PG-13,Peter Jackson,Ian McKellenMartin FreemanRichard Armitage,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug."
 Mad Max: Fury Road,2015,2h,8.1,1200000.0,90.0,R,George Miller,Tom HardyCharlize TheronNicholas Hoult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
 12 Years a Slave,2013,2h 14m,8.1,764000.0,96.0,R,Steve McQueen,Chiwetel EjioforMichael Kenneth WilliamsMichael Fassbender,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
 Indiana Jones and the Last Crusade,1989,2h 7m,8.2,837000.0,65.0,PG-13,Steven Spielberg,Harrison FordSean ConneryAlison Doody,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
" O Brother, Where Art Thou?",2000,1h 47m,7.7,341000.0,69.0,PG-13,sJoel CoenEthan Coen,George ClooneyJohn TurturroTim Blake Nelson,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
 Inglourious Basterds,2009,2h 33m,8.4,1700000.0,69.0,R,Quentin Tarantino,Brad PittDiane KrugerEli Roth,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
 The Departed,2006,2h 31m,8.5,1500000.0,85.0,R,Martin Scorsese,Leonardo DiCaprioMatt DamonJack Nicholson,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
 A Beautiful Mind,2001,2h 15m,8.2,1000000.0,72.0,PG-13,Ron Howard,Russell CroweEd HarrisJennifer Connelly,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
 District 9,2009,1h 52m,7.9,735000.0,81.0,R,Neill Blomkamp,Sharlto CopleyDavid JamesJason Cope,"In a future Earth in which aliens are isolated in a remote ghetto, a government agent finds himself banished there."
 The Piano,1993,2h 1m,7.5,98000.0,89.0,R,Jane Campion,Holly HunterHarvey KeitelSam Neill,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
 Mystic River,2003,2h 18m,7.9,503000.0,84.0,R,Clint Eastwood,Sean PennTim RobbinsKevin Bacon,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her."
 The Insider,1999,2h 37m,7.8,186000.0,85.0,R,Michael Mann,Russell CroweAl PacinoChristopher Plummer,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
 L,1997,2h 18m,8.2,640000.0,91.0,R,Curtis Hanson,Kevin SpaceyRussell CroweGuy Pearce,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
 Heat,1995,2h 50m,8.3,756000.0,76.0,R,Michael Mann,Al PacinoRobert De NiroVal Kilmer,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
 The Usual Suspects,1995,1h 46m,8.5,1200000.0,76.0,R,Bryan Singer,Kevin SpaceyGabriel ByrneChazz Palminteri,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
 Cool Hand Luke,1967,2h 7m,8.0,194000.0,92.0,Approved,Stuart Rosenberg,Paul NewmanGeorge KennedyStrother Martin,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
 Eternal Sunshine of the Spotless Mind,2004,1h 48m,8.3,1100000.0,89.0,R,Michel Gondry,Jim CarreyKate WinsletTom Wilkinson,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
 City Lights,1931,1h 27m,8.5,207000.0,99.0,G,Charles Chaplin,Charles ChaplinVirginia CherrillFlorence Lee,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
 The Matrix,1999,2h 16m,8.7,2200000.0,73.0,R,sLana WachowskiLilly Wachowski,Keanu ReevesLaurence FishburneCarrie-Anne Moss,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
 Sin City,2005,2h 4m,8.0,807000.0,74.0,R,sFrank MillerQuentin TarantinoRobert Rodriguez,Mickey RourkeClive OwenBruce Willis,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
 Misery,1990,1h 47m,7.8,249000.0,75.0,R,Rob Reiner,James CaanKathy BatesRichard Farnsworth,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
 What's Eating Gilbert Grape,1993,1h 58m,7.7,262000.0,73.0,PG-13,Lasse Hallström,Johnny DeppLeonardo DiCaprioJuliette Lewis,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
 Monty Python and the Holy Grail,1975,1h 31m,8.2,587000.0,91.0,PG,sTerry GilliamTerry Jones,Graham ChapmanJohn CleeseEric Idle,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
 The Deer Hunter,1978,3h 3m,8.1,375000.0,90.0,R,Michael Cimino,Robert De NiroChristopher WalkenJohn Cazale,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
 Scarface,1983,2h 50m,8.3,963000.0,65.0,R,Brian De Palma,Al PacinoMichelle PfeifferSteven Bauer,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
 A Clockwork Orange,1971,2h 16m,8.2,910000.0,77.0,R,Stanley Kubrick,Malcolm McDowellPatrick MageeMichael Bates,Alex DeLarge and his droogs barbarize a decaying near-future.
 The Elephant Man,1980,2h 4m,8.2,272000.0,78.0,PG,David Lynch,Anthony HopkinsJohn HurtAnne Bancroft,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
 Papillon,1973,2h 31m,8.0,142000.0,58.0,R,Franklin J. Schaffner,Steve McQueenDustin HoffmanVictor Jory,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
 Lawrence of Arabia,1962,3h 47m,8.3,329000.0,100.0,PG,David Lean,Peter O'TooleAlec GuinnessAnthony Quinn,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
 East of Eden,1955,1h 58m,7.8,50000.0,72.0,PG,Elia Kazan,James DeanRaymond MasseyJulie Harris,"Two brothers in 1910s California struggle to maintain the favor of their affectionate but strict, Bible-toting father as an old secret about their long-absent mother comes to light."
 Hotel Rwanda,2004,2h 1m,8.1,383000.0,79.0,PG-13,Terry George,Don CheadleSophie OkonedoJoaquin Phoenix,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
 Dances with Wolves,1990,3h 1m,8.0,301000.0,72.0,PG-13,Kevin Costner,Kevin CostnerMary McDonnellGraham Greene,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.
 Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,1300000.0,63.0,PG-13,Gore Verbinski,Johnny DeppGeoffrey RushOrlando Bloom,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead."
